latitude,longitude,names,num_bike_slots
53.35893,-6.280337,RATHDOWN ROAD,40
53.346026,-6.243576,LIME STREET,40
53.355473,-6.264423,HARDWICKE STREET,16
53.335742,-6.24551,HERBERT STREET,40
53.353331,-6.249319,BUCKINGHAM STREET LOWER,29
53.358437,-6.260641,UPPER SHERRARD STREET,30
53.349562,-6.278198,SMITHFIELD NORTH,30
53.342113,-6.310015,KILMAINHAM GAOL,40
53.359967,-6.264828,MATER HOSPITAL,40
53.347122,-6.234749,NEW CENTRAL BANK,40
53.341428,-6.24672,FENIAN STREET,35
53.346057,-6.268001,ORMOND QUAY UPPER,29
53.343893,-6.280531,OLIVER BOND STREET,30
53.3488,-6.281637,BLACKHALL PLACE,30
53.337132,-6.26059,NEWMAN HOUSE,40
53.347477,-6.28525,COLLINS BARRACKS MUSEUM,38
53.337494,-6.26199,ST. STEPHEN'S GREEN SOUTH,30
53.352149,-6.260533,CATHAL BRUGHA STREET,20
53.348279,-6.254662,CUSTOM HOUSE,30
53.347932,-6.240928,GUILD STREET,40
53.337757,-6.267699,KEVIN STREET,40
53.343034,-6.263578,EXCHEQUER STREET,24
53.33403,-6.260714,HATCH STREET,36
53.3483,-6.266651,JERVIS STREET,21
53.359246,-6.269779,ECCLES STREET,20
53.343897,-6.29706,ROYAL HOSPITAL,40
53.348875,-6.267459,WOLFE TONE STREET,29
53.342296,-6.287661,MARKET STREET SOUTH,38
53.34744,-6.238523,CONVENTION CENTRE,40
53.330091,-6.268044,PORTOBELLO ROAD,30
53.357841,-6.251557,NORTH CIRCULAR ROAD (O'CONNELL'S),30
53.35561,-6.261397,DENMARK STREET GREAT,20
53.346603,-6.296924,HEUSTON STATION (CENTRAL),40
53.334432,-6.245575,HERBERT PLACE,30
53.359157,-6.281866,CHARLEVILLE ROAD,40
53.343456,-6.287409,JAMES STREET,40
53.345203,-6.247163,SANDWITH STREET,40
53.347884,-6.248048,CUSTOM HOUSE QUAY,30
53.344115,-6.237153,HANOVER QUAY,40
53.354845,-6.247579,KILLARNEY STREET,30
